track_id,title,song_id,release,artist_id,artist_name,year,duration,artist_hotttnesss,artist_familiarity,latitude,longitude,name,city,decade
TRIKPCA128F424A553,Here's That Rainy Day,SOQUYQD12A8C131619,Imprompture,AR4111G1187B9B58AB,Paul Horn,1998,527.59465,0.430622621858,0.503993974931,40.71455,-74.00712,Paul Horn,"New York, NY",1990s
TRYEATD128F92F87C9,Rego Park Blues,SOEZGRC12AB017F1AC,Still River,ARQDZP31187B98D623,Ronnie Earl & the Broadcasters,1995,695.11791,0.362279247228,0.477309939431,NA,NA,NA,NA,1990s
TRBUASZ128F4213085,June 26th_ 1999 - Purpose,SOBXXMX12A6D4FB56F,The Taste Of Rain... Why Kneel,AROGN2E1187B98D292,Deep Puddle Dynamics,1999,206.39302,0.357985697733,0.507126310044,NA,NA,NA,NA,1990s
TRIPLUO128F426B260,Working Girl,SOESGMB12A8C13728D,Amor_ Humor,AR2G8XO1187B9952A1,Nacho Cano,1999,183.71873,0.401366151499,0.471761158279,NA,NA,NA,NA,1990s
TRBJHDW128F427A8E0,SOS,SOBFXYG12A8C13BDB2,Moore Makes 4,ARUQNXV1187B98AE47,Ray Brown Trio / Ralph Moore,1991,284.94322,0.214809934176,0.402588162896,40.43831,-79.99745,Ray Brown Trio,"Pittsburgh, PA",1990s
TRDXPYA128F427A84C,Bohemian Ballet,SOWGHQX12A8C137CD5,Boheme,AR3Q86S1187B9ADDCF,Deep Forest,1995,314.8273,0.455537721976,0.695421644696,37.27188,-119.27023,Ben Harper,California,1990s
TRCMPSV128F92E3476,Do You Mean To Imply,SOTQCCM12AF72A9049,BY DESIGN,ARNO8TU1187B9AFE37,Billy Cobham,1999,592.8224,0.453524272095,0.583811419843,8.4177,-80.11278,Billy Cobham,Panama,1990s
TRBCFEX128F4277CB9,Grounded,SOXSKGC12A8C13A174,The Undecided,AR097D41187B9AEE20,The Undecided,1999,92.65587,0.259765849179,0.46040252931,NA,NA,NA,NA,1990s
TRCFVSR128F42A57D7,Na Laethe Bhí,SOJSPQC12A5891FFCD,3 Originals,ARPXDY61187B9AD0A8,Clannad,1993,319.50322,0.455769040429,0.684627553919,53.41961,-8.24055,Clannad,Ireland,1990s
TRERJLF12903CA196B,Ulkona,SOUCYXT12AB0184F5D,Kaikki Nuoret Tyypit - 18 Suosikkia,ARYOKIG1187B9A4EEE,Tehosekoitin,1994,283.55873,0.47547590622,0.518464829321,NA,NA,NA,NA,1990s
